contrato,produto
1.319797442,LIVE
1.323091889,CONTROLE
1.328846589,CONTROLE
1.332118320,CONTROLE
1.320511877,OI
1.321761038,OI
1.337453165,CONTROLE
1.337423951,CONTROLE
1.262449230,POS
1.330463741,POS
1.330663640,CONTROLE
1.330663620,CONTROLE
1.326542698,CONTROLE
1.330301992,POS
1.330793128,POS
1.330663392,CONTROLE
1.334730755,LIVE
1.326811013,CONTROLE
1.75511990,CONTROLE
1.278384162,CONTROLE
1.328967559,CONTROLE
1.330737958,CONTROLE
1.337623854,CONTROLE
1.336382651,CONTROLE
1.315423643,CONTROLE
1.321652096,POS
1.330692110,CONTROLE
1.335703508,CONTROLE
1.335759087,CONTROLE
1.332294855,POS
1.329404670,CONTROLE
1.339642065,CONTROLE
7.2052276,CORPORATE
1.313672757,CONTROLE
1.336292512,CONTROLE
1.330740664,POS
1.337140626,CONTROLE
1.265373978,CONTROLE
1.334144158,CONTROLE
1.85745427,POS
1.320482248,POS
1.332858462,CONTROLE
1.337102928,CONTROLE
1.316525502,CONTROLE
1.303194518,CONTROLE
1.57115732,POS
1.335532554,CONTROLE
1.316438185,CONTROLE
1.335039148,CONTROLE
1.335609138,CONTROLE
1.339168724,LIVE
1.338870226,CONTROLE
1.340461444,CONTROLE
1.333366077,CONTROLE
1.334833325,POS
1.86887845,POS
1.339358325,CONTROLE
1.331832613,CONTROLE
1.334648340,CONTROLE
1.328649119,POS
1.322205831,CONTROLE
1.334236605,CONTROLE
1.331752593,CONTROLE
1.68066333,CONTROLE
1.86112257,CONTROLE
1.316324992,CONTROLE
1.313677889,CONTROLE
1.316249631,CONTROLE
1.329552885,CONTROLE
1.332079950,POS
1.56149826,POS
1.321431909,POS
1.330466391,CONTROLE
1.339822857,CONTROLE
1.335565223,CONTROLE
1.262169017,CONTROLE
1.318079842,CONTROLE
1.68427116,CONTROLE
1.336049417,CONTROLE
1.85500397,CONTROLE
1.329348114,CONTROLE
1.332696821,CONTROLE
1.330693746,CONTROLE
1.337424664,CONTROLE
1.328144607,POS
1.329297448,CONTROLE
1.329269800,LIVE
1.331360615,LIVE
1.332461986,CONTROLE
1.313788865,LIVE
1.332325284,CONTROLE
1.324305835,POS
1.330616947,CONTROLE
1.337887019,CONTROLE
1.337887604,CONTROLE
1.36769909,POS
1.331231212,POS
1.321291328,POS
1.332040152,CONTROLE
1.336625499,POS
1.337128929,CONTROLE
1.330041424,CONTROLE
1.335372184,CONTROLE
1.330305684,CONTROLE
1.333288875,CONTROLE
1.337526876,POS
1.69253160,CONTROLE
1.335556400,CONTROLE
1.331554017,CONTROLE
1.336713270,CONTROLE
1.333011765,CONTROLE
1.318446283,CONTROLE
1.327794287,POS
1.340851187,POS
1.331970725,POS
1.335257975,POS
1.335206924,POS
1.330572485,LIVE
1.331889600,CONTROLE
1.334914365,LIVE
1.335199726,CONTROLE
1.329925539,CONTROLE
1.334182372,CONTROLE
1.328343591,CONTROLE
1.81628941,CONTROLE
1.81628946,CONTROLE
1.81628950,CONTROLE
1.330831740,POS
1.330630730,CONTROLE
1.330629428,CONTROLE
1.338401074,CONTROLE
1.335979677,CONTROLE
1.324906786,CONTROLE
1.338153579,CONTROLE
1.61513110,CONTROLE
1.318835532,CONTROLE
1.313739341,CONTROLE
1.337237079,CONTROLE
1.333105919,CONTROLE
1.333493391,LIVE
1.337496686,CONTROLE
1.334879298,CONTROLE
1.319950932,LIVE
1.87488492,CONTROLE
1.88060603,CONTROLE
1.334436674,POS
1.331226457,CONTROLE
1.334472660,CONTROLE
1.341646305,CONTROLE
1.328564842,CONTROLE
1.86427335,CONTROLE
